1584197738425Error: Configuration property "salt" is not defined   /api/user/signup
1584634372021TypeError: Cannot read property 'username' of undefined   /api/auth/login
1584634424263TypeError: Cannot read property 'username' of undefined   /api/auth/login
1585236992042SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585237737590SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585238065173TypeError: Cannot read property 'type_name' of null   /api/product/
1585238226838TypeError: Cannot read property 'type_name' of null   /api/product/
1585573097753s_product.name cannot be null   /api/product/createProduct
3/30/2020    (s_product.name cannot be null)   /api/product/createProduct
3/30/2020   (s_product.name cannot be null)   /api/product/createProduct
3/30/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/30/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property 'id' of null)   /api/product/createProduct
3/31/2020   (TypeError: Cannot read property '0' of undefined)   /api/product/createProduct
